"Request Id","Report Type","Request Status","Enterprise","Category","Sub Category","Severity","Average Response","Average Handling"
"5163","Request","Closed","Raffle Oil","Trade Operations","New vehicle registration","Urgent","1 Days 23 Hours","1 Days 23 Hours"
"5164","Request","Closed","CT LFTZ","Trade Operations","Request for plate number","Urgent","1 Days 21 Hours","1 Days 21 Hours"
"5165","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5166","Request","Closed","SBS LFTZ","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
"5167","Request","Reopened","CT LFTZ","Trade Operations","Renewal of vehicle registration","Urgent","","0 Days 1 Hours"
"5168","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
"5169","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","Medium","0 Days 2 Hours","0 Days 2 Hours"
"5170","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","Medium","14 Days 23 Hours","14 Days 23 Hours"
"5171","Request","Closed","Insignia","Trade Operations","New vehicle registration","Urgent","3 Days 22 Hours","3 Days 22 Hours"
"5172","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
"5173","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","1 Days 20 Hours","1 Days 20 Hours"
"5174","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","1 Days 20 Hours","1 Days 20 Hours"
"5175","Request","Closed","Insignia","Trade Operations","Request for plate number","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"5176","Request","Closed","Raffle Oil","Trade Operations","Request for Nafdac Permit","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5177","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5178","Request","Closed","Raffle Oil","Trade Operations","Request for Nafdac Permit","Urgent","2 Days 18 Hours","2 Days 18 Hours"
"5179","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","1 Days 16 Hours","1 Days 16 Hours"
"5180","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","1 Days 16 Hours","1 Days 16 Hours"
"5181","Request","Closed","Kellogg's","Trade Operations","Renewal of vehicle registration","Medium","0 Days 0 Hours","0 Days 0 Hours"
"5182","Request","Closed","Kellogg's","Trade Operations","Renewal of vehicle registration","Medium","0 Days 0 Hours","0 Days 0 Hours"
"5183","Request","Closed","Lekki Port","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"5185","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","Urgent","1 Days 17 Hours","1 Days 17 Hours"
"5186","Request","Closed","BASF","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
"5187","Request","Closed","BASF","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"5188","Request","Closed","China Habour","Trade Operations","Quarterly report","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"5189","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
"5190","Request","Closed","SBS LFTZ","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 2 Hours","0 Days 2 Hours"
"5191","Request","Work In Progress","BASF","Trade Operations","Renewal of operating licenese","High","","0 Days 3 Hours"
"5192","Request","Closed","Kellogg's","Trade Operations","Renewal of service operating  license","Medium","3 Days 19 Hours","3 Days 19 Hours"
"5193","Request","Closed","Raffle Oil","Trade Operations","Request for service permit","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"5194","Request","Work In Progress","Raffle Oil","Trade Operations","Request for service permit","Urgent","","2 Days 16 Hours"
"5195","Request","Closed","China Habour","Trade Operations","Request for plate number","High","1 Days 18 Hours","1 Days 18 Hours"
"5196","Request","Closed","Kellogg's","Trade Operations","Renewal of vehicle registration","Urgent","3 Days 18 Hours","3 Days 18 Hours"
"5197","Request","Closed","China Habour","Trade Operations","Quarterly report","High","0 Days 1 Hours","0 Days 1 Hours"
"5198","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","2 Days 19 Hours","2 Days 19 Hours"
"5204","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Quarterly report","High","2 Days 16 Hours","2 Days 16 Hours"
"5205","Request","Closed","CT LFTZ","Trade Operations","Renewal of vehicle registration","High","6 Days 22 Hours","6 Days 22 Hours"
"5206","Request","Closed","CT LFTZ","Trade Operations","Renewal of vehicle registration","High","1 Days 17 Hours","1 Days 17 Hours"
"5207","Request","Closed","China Habour","Trade Operations","Request for plate number","High","0 Days 1 Hours","0 Days 1 Hours"
"5210","Request","Closed","CNC LFTZ Enterprise","Trade Operations","New vehicle registration","High","4 Days 0 Hours","4 Days 0 Hours"
"5211","Request","Work In Progress","CT LFTZ","Civil Works","Approval for building permit","High","","1 Days 16 Hours"
"5212","Request","Closed","Lekki Port","Trade Operations","New vehicle registration","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5213","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5215","Request","Closed","TG Arla","Trade Operations","New vehicle registration","High","8 Days 21 Hours","8 Days 21 Hours"
"5216","Request","Closed","TG Arla","Trade Operations","New vehicle registration","High","0 Days 2 Hours","0 Days 2 Hours"
"5217","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","Medium","0 Days 1 Hours","0 Days 1 Hours"
"5218","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Renewal of vehicle registration","High","3 Days 0 Hours","3 Days 0 Hours"
